ManufacturerProductNumber,SeriesName,ManufacturerName,DatasheetUrl,PhotoUrl,ProductStatus,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Core Processor,Number of Cores/Bus Width,Speed,RAM Controllers,Ethernet,Voltage - I/O
MPC885ZP80,MPC8xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/wu0afmnukd/FSCLS05303-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4280/MFG_MPC860ENCZQ66D4.jpg,Obsolete,0°C ~ 95°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),MPC8xx,"1 Core, 32-Bit",80MHz,DRAM,"10Mbps (3), 10/100Mbps (2)",3.3V
MPC8313VRADDC,*,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/668/MPC8313E_Hrdw_Spec.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/516-PBGAPGE-%2827x27%29.jpg,Active,,Surface Mount,516-BBGA Exposed Pad,516-TEPBGA (27x27),,,,,,
IBMPPC750CLGEQ7323,-,IBM,https://rocelec.widen.net/view/pdf/8m9gwglpgx/IBMMS00834-1.pdf?t.download=true&u=5oefqw,,Active,0°C ~ 105°C (TJ),Surface Mount,"278-BBGA, FCBGA",278-FCPBGA (21x21),PowerPC 750CL,"1 Core, 32-Bit",733MHz,-,-,"1.15V, 1.8V"
HD64180ZRCP10,*,Renesas Electronics Corporation,https://rocelec.widen.net/view/pdf/4wcnpprj4n/HD64180R.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_ANAANAAD1845JPZ.jpg,Active,,,,,,,,,,
HD64180ZRP8V,*,Renesas Electronics Corporation,https://rocelec.widen.net/view/pdf/4wcnpprj4n/HD64180R.pdf,,Active,,,,,,,,,,
HD64180ZRFS10,*,Renesas Electronics Corporation,https://rocelec.widen.net/view/pdf/qdxnn2ppxc/HD64180Z.pdf,,Active,,,,,,,,,,
AM3715CBCD100,Sitara™,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fam3715,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/515-FCBGA-CBC.jpg,Not For New Designs,-40°C ~ 90°C (TJ),Surface Mount,"515-VFBGA, FCBGA",515-POP-FCBGA (14x14),ARM® Cortex®-A8,"1 Core, 32-Bit",1.0GHz,SDRAM,-,1.8V
MPC859DSLVR66A-NXP,MPC85xx,NXP USA Inc.,https://rocelec.widen.net/view/pdf/i7vxyzx109/FSCLS02244-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4280/MFG_MPC860ENCZQ66D4.jpg,Active,0°C ~ 95°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),MPC8xx,"1 Core, 32-Bit",66MHz,DRAM,"10Mbps (1), 10/100Mbps (1)",3.3V
MPC850CZQ50BU,MPC8xx,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2591/MPC850%20PowerQUICC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/256BGA.jpg,Obsolete,-40°C ~ 95°C (TA),Surface Mount,256-BBGA,256-PBGA (23x23),MPC8xx,"1 Core, 32-Bit",50MHz,DRAM,10Mbps (1),3.3V
P5010NXE1VNB,QorIQ P5,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/321/P5_FS.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/P4080NSE1PNB.JPG,Obsolete,-40°C ~ 105°C (TA),Surface Mount,"1295-BBGA, FCBGA",1295-FCPBGA (37.5x37.5),PowerPC e5500,"1 Core, 64-Bit",2.0GHz,"DDR3, DDR3L","1Gbps (5), 10Gbps (1)",-
MPC8358ZQAGDDA,MPC83xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/ww34n2utet/FSCLS05951-1.pdf?t.download=true&u=5oefqw,,Active,0°C ~ 105°C (TA),Surface Mount,668-BBGA Exposed Pad,668-PBGA-PGE (29x29),PowerPC e300,"1 Core, 32-Bit",400MHz,"DDR, DDR2",10/100/1000Mbps (1),"1.8V, 2.5V, 3.3V"
MC68LC302AF16CT,M683xx,NXP USA Inc.,https://www.nxp.com/docs/en/data-sheet/MC68LC302.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/326/568%3BSOT407-3%3BLL%3B100.jpg,Obsolete,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-LQFP (14x14),M68000,"1 Core, 8/16-Bit",16MHz,DRAM,-,5.0V
25PPC750L-GB350B3R,-,IBM,https://rocelec.widen.net/view/pdf/k4ewyur4we/IBMMS00576-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3715/MFG_25EMPPC750LEBF366.jpg,Active,,,,,,,,,,
MPC8248ZQMIBA,MPC82xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/kjil1brg6t/FSCLS05947-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_NXPFREMPC8313CZQAFFB.jpg,Active,0°C ~ 105°C (TA),Surface Mount,516-BBGA,516-PBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",266MHz,"DRAM, SDRAM",10/100Mbps (2),3.3V
MPC8271CVRPIEA,MPC82xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/0g5dg29rhi/FSCLS04428-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_NXPFREMPC8313CZQAFFB.jpg,Obsolete,-40°C ~ 105°C (TA),Surface Mount,516-BBGA,516-PBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",300MHz,"DRAM, SDRAM",10/100Mbps (2),3.3V
P1016NSN5DFB,QorIQ P1,Freescale Semiconductor,,,Active,0°C ~ 125°C (TA),Surface Mount,561-FBGA,561-TEPBGA I (23x23),PowerPC e500v2,"1 Core, 32-Bit",667MHz,"DDR2, DDR3",10/100/1000Mbps (3),-
MPC8241LZQ266D,MPC82xx,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/906/MPC8241.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2584/MFG_MPC860%20SERIES.jpg,Obsolete,0°C ~ 105°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),PowerPC 603e,"1 Core, 32-Bit",266MHz,SDRAM,-,3.3V
25PPC405CR-3BB200C,*,IBM,https://rocelec.widen.net/view/pdf/su9ohqapgd/IBMMS00553-1.pdf?t.download=true&u=5oefqw,,Active,-40°C ~ 85°C (TC),Surface Mount,316-BBGA,316-EPBGA (27x27),PowerPC 405CR,"1 Core, 32-Bit",200MHz,SDRAM,-,3.3V
MPC8241LVR266D-FR,MPC82xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/vn21ppkkxm/FSCLS04879-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4280/MFG_MPC860ENCZQ66D4.jpg,Active,0°C ~ 105°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),PowerPC 603e,"1 Core, 32-Bit",266MHz,SDRAM,-,3.3V
HD64180R1P6V,*,Renesas Electronics Corporation,https://rocelec.widen.net/view/pdf/zd8pclrj60/RNCCS10537-1.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_CYPCYPCY8C3245LTI-129.jpg,Active,,,,,,,,,,
25PPC750CX-DP0523T,*,IBM,https://rocelec.widen.net/view/pdf/upkbjsoylp/IBMMS00670-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2923/MFG_EPF10K100EFC484-2X.jpg,Active,0°C ~ 105°C (TJ),Surface Mount,256-LBGA,256-PBGA (27x27),PowerPC 750CX,"1 Core, 32-Bit",700MHz,-,-,"1.8V, 2.5V"
MPC8272CVRPIEA,MPC82xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/kjil1brg6t/FSCLS05947-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_NXPFREMPC8313CZQAFFB.jpg,Obsolete,-40°C ~ 105°C (TA),Surface Mount,516-BBGA,516-PBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",300MHz,"DRAM, SDRAM",10/100Mbps (2),3.3V
MPC8343CRADDB,MPC83xx,NXP USA Inc.,https://rocelec.widen.net/view/pdf/qekd4t5xrz/FSCLS06083-1.pdf?t.download=true&u=5oefqw,,Active,-40°C ~ 105°C (TA),Surface Mount,620-BBGA Exposed Pad,620-TEPBGA II (29x29),PowerPC e300,"1 Core, 32-Bit",266MHz,"DDR, DDR2",10/100/1000Mbps (3),"1.8V, 2.5V, 3.3V"
MPC8343CZQADDB,MPC83xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/qekd4t5xrz/FSCLS06083-1.pdf?t.download=true&u=5oefqw,,Active,-40°C ~ 105°C (TA),Surface Mount,620-BBGA Exposed Pad,620-PBGA (29x29),PowerPC e300,"1 Core, 32-Bit",266MHz,"DDR, DDR2",10/100/1000Mbps (3),"1.8V, 2.5V, 3.3V"
MPC8241LZQ200D,MPC82xx,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/906/MPC8241.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2584/MFG_MPC860%20SERIES.jpg,Obsolete,0°C ~ 105°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),PowerPC 603e,"1 Core, 32-Bit",200MHz,SDRAM,-,3.3V
MPC8321ECZQADDC,MPC83xx,NXP USA Inc.,https://www.nxp.com/docs/en/data-sheet/MPC8323EEC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1164/MPC5123YVY400B.jpg,Obsolete,-40°C ~ 105°C (TA),Surface Mount,516-BBGA,516-PBGA (27x27),PowerPC e300c2,"1 Core, 32-Bit",266MHz,"DDR, DDR2",10/100Mbps (3),"1.8V, 2.5V, 3.3V"
MCF5407CFT220,MCF540x,Motorola,http://www.nxp.com/docs/en/data-sheet/MCF5407UM.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3648/MFG_MCF5407CFT220.jpg,Active,0°C ~ 70°C (TA),Surface Mount,208-BFQFP,208-FQFP (28x28),ColdFire V4,,220MHz,,,
MPC8358EZQAGDDA,MPC83xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/ww34n2utet/FSCLS05951-1.pdf?t.download=true&u=5oefqw,,Active,0°C ~ 105°C (TA),Surface Mount,668-BBGA Exposed Pad,668-TEPBGA (29x29),PowerPC e300,"1 Core, 32-Bit",400MHz,"DDR, DDR2",10/100/1000Mbps (1),"1.8V, 2.5V, 3.3V"
MPC8314VRADDA,MPC83xx,NXP USA Inc.,https://www.nxp.com/docs/en/data-sheet/MPC8314EEC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/599/MPC8314CVRAFDA.jpg,Active,0°C ~ 105°C (TA),Surface Mount,620-BBGA Exposed Pad,620-HBGA (29x29),PowerPC e300c3,"1 Core, 32-Bit",266MHz,"DDR, DDR2",10/100/1000Mbps (2),"1.8V, 2.5V, 3.3V"
A80960HA33SL2GY,i960,Intel,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/964/80960HA%2CHD%2CHT.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/415/A80960HA33SL2GY.JPG,Obsolete,0°C ~ 85°C (TC),Through Hole,168-PGA,168-PGA,i960,"1 Core, 32-Bit",33MHz,DRAM,-,3.3V
MPC875CZT133,MPC8xx,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/MPC875%2C870.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/256BGA.jpg,Obsolete,-40°C ~ 100°C (TA),Surface Mount,256-BBGA,256-PBGA (23x23),MPC8xx,"1 Core, 32-Bit",133MHz,DRAM,"10Mbps (1), 10/100Mbps (2)",3.3V
MPC8313ECVRAGDC,MPC83xx,NXP USA Inc.,http://www.nxp.com/docs/en/data-sheet/MPC8313EEC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5481/MFG_FREFREMPC8313CVRADDC.jpg,Active,-40°C ~ 105°C (TJ),Surface Mount,516-BBGA Exposed Pad,516-TEPBGA (27x27),PowerPC e300c3,"1 Core, 32-Bit",400MHz,"DDR, DDR2",10/100/1000Mbps (2),"1.8V, 2.5V, 3.3V"
OMAP3530DCBCA,OMAP-35xx,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fomap3525,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/515-FCBGA-CBC.jpg,Obsolete,-40°C ~ 105°C (TJ),Surface Mount,"515-VFBGA, FCBGA",515-POP-FCBGA (14x14),ARM® Cortex®-A8,"1 Core, 32-Bit",720MHz,LPDDR,-,"1.8V, 3.0V"
MCIMX515DJM8C,-,NXP Semiconductors,https://rocelec.widen.net/view/pdf/ncxvwry61t/FSCLS07403-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_TEXTISTMS320DM6467ZUTD7.jpg,Obsolete,-20°C ~ 85°C (TC),Surface Mount,529-LFBGA,529-BGA Case 2017 (19x19),ARM® Cortex®-A8,"1 Core, 32-Bit",800MHz,"DDR2, LPDDR2",10/100Mbps (1),"1.2V, 1.875V, 2.775V, 3V"
25PPC750CX-DP10-3T,*,IBM,https://rocelec.widen.net/view/pdf/upkbjsoylp/IBMMS00670-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2923/MFG_EPF10K100EFC484-2X.jpg,Active,0°C ~ 105°C (TJ),Surface Mount,256-LBGA,256-PBGA (27x27),PowerPC 750CX,"1 Core, 32-Bit",733MHz,-,-,"1.8V, 2.5V"
MPC8247CZQMIBA,MPC82xx,NXP USA Inc.,https://www.nxp.com/docs/en/data-sheet/MPC8272EC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1164/MPC5123YVY400B.jpg,Obsolete,-40°C ~ 105°C (TA),Surface Mount,516-BBGA,516-PBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",266MHz,"DRAM, SDRAM",10/100Mbps (2),3.3V
MPC8247ZQTIEA,MPC82xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/kjil1brg6t/FSCLS05947-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_NXPFREMPC8313CZQAFFB.jpg,Active,0°C ~ 105°C (TA),Surface Mount,516-BBGA,516-FPBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",400MHz,"DRAM, SDRAM",10/100Mbps (2),3.3V
UG80960HD6616SL2GN,i960,Intel,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/964/80960HA%2CHD%2CHT.pdf,,Obsolete,0°C ~ 85°C (TC),Surface Mount,208-QFP,208-SQFP (28x28),i960,"1 Core, 32-Bit",66MHz,DRAM,-,3.3V
A80960CF40,i960,Intel,https://rocelec.widen.net/view/pdf/fvpcdkanu7/INTLS05153-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/415/A80960CF40.JPG,Obsolete,0°C ~ 85°C (TC),Through Hole,168-PGA,168-PGA,i960,"1 Core, 32-Bit",40MHz,DRAM,-,5.0V
LS1021AXN7HNB,QorIQ® Layerscape,NXP USA Inc.,https://www.nxp.com/docs/en/fact-sheet/LS1021AFS.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/44/568%3B-SOT1655-1%3B-NB%3B-25.jpg,Active,-40°C ~ 105°C,Surface Mount,"525-FBGA, FCBGA",525-FCPBGA (19x19),ARM® Cortex®-A7,"2 Core, 32-Bit",800MHz,"DDR3L, DDR4",GbE (3),-
MC68340FE16E,M683xx,Motorola,https://rocelec.widen.net/view/pdf/mgbd2uhrcw/MOTOS05521-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3753/MFG_MC9S12XET256MAG.jpg,Active,0°C ~ 70°C (TA),Surface Mount,144-BCQFP,144-CQFP (26.77x26.77),CPU32,"1 Core, 32-Bit",16MHz,DRAM,-,5.0V
MPC857TCVR66B,MPC8xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/xhtf2q8a1v/FSCLS02237-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4280/MFG_MPC860ENCZQ66D4.jpg,Active,-40°C ~ 115°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),MPC8xx,"1 Core, 32-Bit",66MHz,DRAM,"10Mbps (1), 10/100Mbps (1)",3.3V
IBM25PPC750FX-GR0133T,IBM25PPC750FX,IBM,https://rocelec.widen.net/view/pdf/zuty1zbzpl/IBMMS00795-1.pdf?t.download=true&u=5oefqw,,Active,-40°C ~ 105°C (TJ),Surface Mount,292-BCBGA Exposed Pad,292-CBGA (21x21),PowerPC 750FX,"1 Core, 32-Bit",600MHz,-,-,2.5V
TMC2340AH5C,-,Fairchild Semiconductor,https://rocelec.widen.net/view/pdf/urat3tfyhp/FAIRS02608-1.pdf?t.download=true&u=5oefqw,,Active,0°C ~ 70°C,Through Hole,121-BPGA,121-PPGA (34.16x34.16),,,,,,
CS80C286-12,-,Harris Corporation,https://rocelec.widen.net/view/pdf/gpguieul1d/INSL-S-A0001388803-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5442/MFG_ANAANAAD1845JPZ.jpg,Active,0°C ~ 70°C (TA),Surface Mount,68-LCC (J-Lead),68-PLCC (24.23x24.23),80C286,"1 Core, 16-Bit",12.5MHz,-,-,5.0V
MPC859TZP133A,MPC85xx,Freescale Semiconductor,https://rocelec.widen.net/view/pdf/i7vxyzx109/FSCLS02244-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4280/MFG_MPC860ENCZQ66D4.jpg,Active,0°C ~ 95°C (TA),Surface Mount,357-BBGA,357-PBGA (25x25),MPC8xx,"1 Core, 32-Bit",133MHz,DRAM,"10Mbps (1), 10/100Mbps (1)",3.3V
W65C816SXB,-,WDC,https://www.westerndesigncenter.com/wdc/documentation/W65C816SXB.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/55/MFG_W65C816SXB.jpg,Active,,Fixed,,,-,,,,,
MPC5200BV400,MPC52xx,Motorola,https://rocelec.widen.net/view/pdf/ltrdrkrh1e/FSCLS07323-1.pdf?t.download=true&u=5oefqw,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4156/MFG_MPC555LFCZP40.jpg,Obsolete,0°C ~ 70°C (TA),Surface Mount,272-BBGA,272-PBGA (27x27),PowerPC G2_LE,"1 Core, 32-Bit",400MHz,"DDR, SDRAM",10/100Mbps (1),"2.5V, 3.3V"
MC68340AB25E,M683xx,NXP USA Inc.,https://www.nxp.com/docs/en/data-sheet/MC68340UM.pdf,,Obsolete,0°C ~ 70°C (TA),Surface Mount,144-BQFP,144-QFP (28x28),CPU32,"1 Core, 32-Bit",25MHz,DRAM,-,5.0V
MPC8378CVRAGDA,MPC83xx,NXP USA Inc.,https://www.nxp.com/docs/en/fact-sheet/MPC837XFFS.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/689-BBGA.jpg,Obsolete,-40°C ~ 125°C (TA),Surface Mount,689-BBGA Exposed Pad,689-TEPBGA II (31x31),PowerPC e300c4s,"1 Core, 32-Bit",400MHz,"DDR, DDR2",10/100/1000Mbps (2),"1.8V, 2.5V, 3.3V"
MPC8377VRAJFA,MPC83xx,NXP USA Inc.,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1022/MPC8377E.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/689-BBGA.jpg,Obsolete,0°C ~ 125°C (TA),Surface Mount,689-BBGA Exposed Pad,689-TEPBGA II (31x31),PowerPC e300c4s,"1 Core, 32-Bit",533MHz,"DDR, DDR2",10/100/1000Mbps (2),"1.8V, 2.5V, 3.3V"
NK-980IOT,NuMicro®,Nuvoton Technology Corporation,https://www.nuvoton.com/export/resource-files/en-us--UM_NuMaker_IIoT_NUC980_EN_Rev1.01.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3655/MFG_NuMaker-IIoT-NUC980.jpg,Obsolete,,Fixed,,,ARM926EJ-S,,,,,
